iter	MultiClass
0	1.28092366
1	1.193165174
2	1.128422723
3	1.073422094
4	1.025280216
5	0.9808197117
6	0.9434364162
7	0.9140779959
8	0.8864804186
9	0.8603624625
10	0.8350302426
11	0.8143028205
12	0.7947290686
13	0.7759394265
14	0.7605563829
15	0.7445361074
16	0.7320467161
17	0.7177075373
18	0.7051824776
19	0.6941280362
20	0.6832984474
21	0.6727508378
22	0.6642158718
23	0.6560427405
24	0.6474721156
25	0.6393245321
26	0.6319548074
27	0.6256357726
28	0.6188250846
29	0.6121594451
30	0.6067187919
31	0.6022633149
32	0.5969169357
33	0.5926547472
34	0.5875233394
35	0.5826793808
36	0.5783098344
37	0.5740288006
38	0.56864133
39	0.5639953491
40	0.5601387386
41	0.5558697496
42	0.5518962448
43	0.5487047363
44	0.5455029152
45	0.5417274682
46	0.5388955891
47	0.5365039581
48	0.5344993427
49	0.5313325134
50	0.5286784645
51	0.5262040632
52	0.5236768201
53	0.5218262889
54	0.518254615
55	0.5162864618
56	0.5144656084
57	0.5120344809
58	0.5100020209
59	0.5078086653
60	0.5057610807
61	0.5039074116
62	0.5019927041
63	0.4994464063
64	0.4977728959
65	0.4960597923
66	0.4946180531
67	0.4926409312
68	0.4907702329
69	0.4894708063
70	0.4870582809
71	0.4851516586
72	0.4831257167
73	0.4814637489
74	0.4795609268
75	0.4773976863
76	0.4763043063
77	0.474860595
78	0.4736959857
79	0.4719448769
80	0.4696588733
81	0.4678619913
82	0.4668075735
83	0.4646668213
84	0.4630765116
85	0.4615599613
86	0.4599537335
87	0.4582560713
88	0.4565116862
89	0.4549640651
90	0.452915046
91	0.4509937762
92	0.4494076774
93	0.4475453115
94	0.4460842148
95	0.4441023617
96	0.4426655795
97	0.4415743002
98	0.4401626187
99	0.4388441396
100	0.4376223388
101	0.4366150979
102	0.4354358861
103	0.4344085796
104	0.4328531018
105	0.4314097495
106	0.4301565983
107	0.4293750158
108	0.4278415348
109	0.4261086831
110	0.4241761499
111	0.4232851185
112	0.4223951601
113	0.421371723
114	0.420280425
115	0.4189800853
116	0.418011641
117	0.4172648958
118	0.4162275919
119	0.414484793
120	0.4131922208
121	0.4116596667
122	0.4102387358
123	0.4090421213
124	0.4079421217
125	0.4066279548
126	0.4054785096
127	0.4046317716
128	0.4034852413
129	0.4019900033
130	0.4013043705
131	0.399928002
132	0.3982995271
133	0.3973715078
134	0.3960317224
135	0.3951282698
136	0.3935825035
137	0.392773442
138	0.3919442847
139	0.390684937
140	0.3894111802
141	0.3884394988
142	0.3873977391
143	0.3859649089
144	0.3847862119
145	0.3838866665
146	0.3824833081
147	0.3811757728
148	0.3800640517
149	0.3789977557
150	0.377941083
151	0.3764068795
152	0.3755084128
153	0.3745901586
154	0.3731405732
155	0.3718021712
156	0.3708229255
157	0.3693944215
158	0.3682349966
159	0.3671943536
160	0.3661764267
161	0.3650427469
162	0.364113841
163	0.3635707501
164	0.3622927757
165	0.3614583492
166	0.360396235
167	0.3588419189
168	0.3581144556
169	0.3572664272
170	0.3567151733
171	0.3558260598
172	0.3549417656
173	0.3540448758
174	0.3530437322
175	0.3516382469
176	0.3506920783
177	0.3499642935
178	0.3491661102
179	0.3484266216
180	0.3476600737
181	0.3464818014
182	0.3454854483
183	0.3444148094
184	0.3435454036
185	0.3428611414
186	0.3423268203
187	0.3419474326
188	0.3414450612
189	0.3403149905
190	0.3399667412
191	0.3386979295
192	0.3377121433
193	0.3368284008
194	0.3360750314
195	0.3353352601
196	0.333884558
197	0.3332027459
198	0.3322664542
199	0.3318419185
200	0.331234529
201	0.3304955776
202	0.3298158104
203	0.329391207
204	0.3288184687
205	0.3277706275
206	0.3269047063
207	0.3261551046
208	0.3253597915
209	0.3245924624
210	0.3239219867
211	0.3233798765
212	0.3225724849
213	0.3219557576
214	0.3215150893
215	0.320827978
216	0.3197701275
217	0.3192790949
218	0.3185557691
219	0.3178805413
220	0.3170095848
221	0.3162098266
222	0.315798123
223	0.3148704128
224	0.3142617329
225	0.3134376057
226	0.3127449163
227	0.3124778432
228	0.3121106563
229	0.3111534203
230	0.3105299563
231	0.309847031
232	0.30917449
233	0.3086968817
234	0.3079925703
235	0.307092386
236	0.3067478271
237	0.306131243
238	0.3056485952
239	0.3049541709
240	0.3041641536
241	0.3037022952
242	0.3027174806
243	0.3022293588
244	0.3015265314
245	0.3009968763
246	0.3003537728
247	0.2993434596
248	0.2988823073
249	0.2982891764
250	0.2976648223
251	0.2969091919
252	0.2963068858
253	0.2954208336
254	0.2947902231
255	0.2943063887
256	0.2938185112
257	0.2933788669
258	0.2928384764
259	0.2917973589
260	0.2910723324
261	0.2907791157
262	0.2901697642
263	0.289655062
264	0.2891829947
265	0.2886752943
266	0.2882310964
267	0.2877881403
268	0.2871913704
269	0.2865971825
270	0.2860377324
271	0.2854776372
272	0.2848590805
273	0.2843591807
274	0.283622948
275	0.2832582212
276	0.2826834344
277	0.2820676856
278	0.2812703251
279	0.2804382643
280	0.2796931973
281	0.2789814373
282	0.2784079299
283	0.2777387362
284	0.2772455252
285	0.2768919132
286	0.2761326569
287	0.275463505
288	0.2751672326
289	0.2747523193
290	0.2741978681
291	0.2738244029
292	0.273437283
293	0.2727786941
294	0.2720863804
295	0.2718676319
296	0.2713865669
297	0.2707587811
298	0.2697956323
299	0.2694346611
300	0.2685890477
301	0.2681643338
302	0.2678291866
303	0.2672567542
304	0.2667310134
305	0.2664131739
306	0.266073013
